Base,Unique_ID,Cat,latitude_new,longitude_new,Place,Domain
Lee on Solent,Lee 8888171,Pre-arranged Transfer,50.710226,-1.298889,IOW to Horsea,Land
Prestwick,Pres8908171,Rescue/Recovery,54.672456,-3.3025225,Cockermouth,Land
Newquay,Newq8916171,Support,50.481427,-4.0338273,"Yelverton, Dartmoor",Land
Newquay,Newq8921171,Rescue/Recovery,49.930384,-6.2947501,"St Marys, Isles of Scilly",Land
Stornoway,Stor8952171,Rescue/Recovery,56.75,-7.05,20nm NW of Tiree ,Coastal
Lee on Solent,Lee 8956171,Support,50.725,-0.959333333333333,Solent,Maritime
Inverness,Inve8957171,Rescue/Recovery,57.417765,-5.691916,Loch Carron,Land
Sumburgh,Sumb8958171,Rescue/Recovery,60.7333333333333,-2.48333333333333,"Flotel Victory, 70nm NW of Sumbrugh",Maritime
Humberside,Humb8970171,Rescue/Recovery,53.3883333333333,2.005,Loggs Platform - 099 Humber 89NM,Maritime
Lee on Solent,Lee 8995171,Pre-arranged Transfer,50.711125,-1.2988755,St Marys - IoW,Land
Stornoway,Stor9010171,Rescue/Recovery,59.875,-6.53333333333333,115nm North of Stornoway,Maritime
Lee on Solent,Lee 9016171,Support,50.657463,-1.9433601,Studland Bay,Maritime
Prestwick,Pres9030171,Rescue/Recovery,54.7563333333333,-3.92583333333333,Kirkudbright,Maritime
Inverness,Inve9042171,Search only,57.974281,-4.6460662,"Lairg, Scotland",Land
Newquay,Newq9068171,Pre-arranged Transfer,49.91324,-6.2960114,Scilly Isles,Land
Lee on Solent,Lee 9100171,Pre-arranged Transfer,50.710226,-1.298889,IOW > Southampton,Land
Stornoway,Stor9106171,Pre-arranged Transfer,58.3315,-5.5795,"USS GRAVELY, 30nm ENE Stornoway",Maritime
Prestwick,Pres9113171,Search only,55.354281,-2.4778499,"Pennine Way, Cheviot Hills",Land
Inverness,Inve9126171,Rescue/Recovery,58.346371,-5.1575743,"Scourie, Highlands",Land
Lee on Solent,Lee 9132171,Search only,50.912007,-1.5518955,"Totton, Hampshire",Land
Caernarfon,Caer9191171,Support,53.067777,-4.0774737,"Watkin Path, Snowden",Land
Caernarfon,CaerNA171,Rescue/Recovery,53.067777,-4.0774737,"Watkin Path, Snowden",Land
Caernarfon,Caer9194171,Rescue/Recovery,53.077524,-3.9256605,Moel Siabod,Land
Newquay,Newq9199171,Rescue/Recovery,50.623547,-4.7737752,Port Isaac,Coastal
Newquay,Newq9221171,Rescue/Recovery,50.094145,-5.3695452,"Rinsey Head, Helston, Cornwall",Coastal
Prestwick,Pres9234171,Rescue/Recovery,54.527648,-3.6100551,"Saltom Bay, Whitehaven, Cumbria",Coastal
Inverness,Inve9248171,Search only,55.915562,-4.9137816,"Lunderston Bay, River Clyde",Coastal
Prestwick,Pres9249171,Search only,54.527648,-3.6100551,"Saltom Bay, Whitehaven, Cumbria",Coastal
Lee on Solent,Lee 9253171,Pre-arranged Transfer,50.710226,-1.298889,"St Marys, Isle of Wight",Land
Caernarfon,CaerNA171,Rescue/Recovery,53.067777,-4.0774737,"Watkin Path, Snowden",Land
St Athan,St A9271171,Support,51.3826666666667,-3.365,Severn Estuary,Maritime
Prestwick,Pres9291171,Rescue/Recovery,56.213799,-4.8057287,"The Cobbler, Loch Lomond",Land
Newquay,Newq9308171,Rescue/Recovery,50.075675,-5.7093525,Sennen Cove,Coastal
Stornoway,Stor9334171,Support,57.007361,-7.510735,"Isle of Barra, Scotland",Coastal
Prestwick,Pres9395171,Rescue/Recovery,54.473865,-3.2128698,Wasdale Head,Land
